Year,African-American,Caucasian,Hispanic,Other
2000,30.26666666666667,38.733333333333334,21.866666666666664,55.9
2001,31.2,39.53333333333333,21.73333333333333,51.800000000000004
2002,31.7,40.86666666666667,20.166666666666664,51.575
2003,32.166666666666664,41.53333333333333,23.73333333333333,51.4
2004,31.633333333333336,41.699999999999996,24.866666666666664,48.65
2005,32.96666666666667,42.76666666666666,25.0,48.01428571428571
2006,32.53333333333333,41.0,23.733333333333334,48.43333333333333
2007,33.1,42.63333333333333,26.766666666666666,44.814285714285724
2008,32.0,44.26666666666667,25.899999999999995,52.48333333333334
2009,37.6,45.0,27.566666666666666,52.23333333333333
2010,38.333333333333336,43.333333333333336,31.96666666666667,49.62857142857143
2011,37.0,44.73333333333333,35.06666666666666,45.84285714285714
2012,36.333333333333336,42.13333333333333,37.56666666666667,46.52857142857143
2013,34.13333333333333,41.666666666666664,33.9,55.3
