Year,Female,Male
2000,9.34,6.32
2001,10.8,7.56
2002,9.459999999999999,7.24
2003,11.900000000000002,6.2
2004,11.642857142857142,9.442857142857141
2005,9.583333333333334,6.083333333333333
2006,9.716666666666667,7.283333333333332
2007,10.316666666666666,7.94
2008,11.783333333333333,7.399999999999999
2009,11.583333333333334,8.566666666666666
2010,11.783333333333333,8.216666666666667
2011,11.075000000000001,7.9333333333333345
2012,10.816666666666668,8.633333333333333
2013,10.5,8.816666666666668
2014,12.766666666666666,8.620000000000001
