Year,African-American,Caucasian,Hispanic,Other
2000,23.833333333333332,10.0,22.2,15.850000000000001
2001,24.233333333333334,11.300000000000002,20.966666666666665,17.23333333333333
2002,24.866666666666664,12.700000000000001,21.733333333333334,20.666666666666668
2003,25.599999999999998,12.333333333333334,22.633333333333336,20.388888888888893
2004,25.266666666666666,12.033333333333333,21.0,23.900000000000002
2005,25.166666666666668,12.6,22.366666666666664,21.2625
2006,23.366666666666664,12.133333333333335,19.833333333333332,20.799999999999997
2007,22.833333333333332,11.933333333333335,19.900000000000002,19.400000000000002
2008,23.2,12.033333333333333,21.666666666666668,21.485714285714288
2009,25.366666666666664,15.5,22.933333333333334,22.6375
2010,28.866666666666664,15.5,24.5,22.855555555555558
2011,24.2,15.166666666666666,22.933333333333334,20.32222222222222
2012,24.23333333333333,13.533333333333333,21.266666666666666,21.43
2013,24.5,14.299999999999999,20.833333333333332,23.7
2014,25.833333333333332,14.433333333333332,19.36666666666667,19.77777777777778
