Year,Female,Male
2000,62.593333333333334,70.77333333333334
2001,61.413333333333334,69.84
2002,61.00666666666666,68.98666666666668
2003,58.486666666666665,67.26
2004,59.17333333333333,66.54666666666665
2005,58.44666666666667,66.20666666666666
2006,57.88666666666666,66.32000000000001
2007,58.48666666666668,64.49999999999999
2008,57.320000000000014,64.88000000000001
2009,55.84000000000001,61.72
2010,54.64000000000001,60.15333333333333
2011,54.366666666666674,59.39333333333333
2012,54.26,59.333333333333336
2013,54.78,59.72666666666666
