Year,Race,Count,Percentage
2000,Caucasian,1725.2,10.0
2001,Caucasian,1889.6,11.3
2002,Caucasian,2162.8,12.7
2003,Caucasian,2101.9,12.3
2004,Caucasian,2089.5,12.0
2005,Caucasian,2180.9,12.6
2006,Caucasian,2110.2,12.1
2007,Caucasian,2078.8,11.9
2008,Caucasian,2106.0,12.0
2009,Caucasian,2749.2,15.5
2010,Caucasian,2754.2,15.5
2011,Caucasian,2662.4,15.2
2012,Caucasian,2298.7,13.5
2013,Caucasian,2381.3,14.3
2014,Caucasian,2401.6,14.4
2000,African-American,921.4,23.9
2001,African-American,898.7,24.2
2002,African-American,947.2,24.9
2003,African-American,948.9,25.6
2004,African-American,921.6,25.2
2005,African-American,958.4,25.1
2006,African-American,907.1,23.3
2007,African-American,887.8,22.8
2008,African-American,910.7,23.2
2009,African-American,1013.2,25.3
2010,African-American,1175.4,28.8
2011,African-American,1015.3,24.1
2012,African-American,1035.8,24.2
2013,African-American,1066.8,24.4
2014,African-American,1111.6,25.7
2000,Hispanic,867.1,21.9
2001,Hispanic,988.2,20.6
2002,Hispanic,1047.9,21.5
2003,Hispanic,1069.3,22.2
2004,Hispanic,1023.6,20.6
2005,Hispanic,1093.7,22.0
2006,Hispanic,950.2,19.5
2007,Hispanic,995.0,19.6
2008,Hispanic,1074.4,21.4
2009,Hispanic,1158.0,22.8
2010,Hispanic,1332.6,24.4
2011,Hispanic,1310.1,22.7
2012,Hispanic,1322.2,21.2
2013,Hispanic,1309.7,20.8
2014,Hispanic,1233.4,19.3
2000,Other,112.3,9.6
2001,Other,135.6,10.5
2002,Other,144.0,10.8
2003,Other,109.9,9.7
2004,Other,102.2,9.3
2005,Other,119.1,10.9
2006,Other,132.9,11.8
2007,Other,131.8,10.9
2008,Other,102.6,9.0
2009,Other,97.3,8.9
2010,Other,161.6,13.8
2011,Other,130.1,10.4
2012,Other,179.8,11.7
2013,Other,167.1,10.6
2014,Other,168.5,10.7
2012,Hispanic,647.4,19.8
2012,Other,21.5,18.8
2010,Other,88.0,35.9
2000,Other,50.6,22.1
2001,Other,70.7,23.9
2002,Other,81.8,30.6
2003,Other,66.9,34.9
2004,Other,58.1,35.1
2005,Other,53.7,31.6
2006,Other,56.3,34.3
2007,Other,59.1,29.5
2008,Other,69.9,34.4
2009,Other,67.2,29.5
2011,Other,66.8,31.3
2012,Other,82.4,36.5
2013,Other,121.9,44.4
2014,Other,106.0,34.2
2003,Other,76.0,16.6
2004,Other,93.6,20.8
2005,Other,86.4,16.8
2006,Other,79.5,16.7
2007,Other,65.2,13.5
2008,Other,89.7,17.2
2009,Other,115.9,23.6
2010,Other,92.3,18.8
2011,Other,105.1,19.2
2012,Other,127.1,16.9
2013,Other,112.7,16.1
2014,Other,102.5,14.0
2000,Caucasian,657.7,7.6
2001,Caucasian,822.2,9.8
2002,Caucasian,975.3,11.4
2003,Caucasian,932.2,10.9
2004,Caucasian,888.3,10.1
2005,Caucasian,945.3,10.9
2006,Caucasian,871.8,10.0
2007,Caucasian,908.3,10.3
2008,Caucasian,942.2,10.6
2009,Caucasian,1474.3,16.4
2010,Caucasian,1364.1,15.2
2011,Caucasian,1328.5,15.0
2012,Caucasian,1032.4,12.1
2013,Caucasian,1159.7,13.7
2014,Caucasian,1153.4,13.5
2000,African-American,408.3,22.7
2001,African-American,431.4,25.0
2002,African-American,440.7,24.8
2003,African-American,442.8,25.5
2004,African-American,463.5,26.7
2005,African-American,489.9,27.2
2006,African-American,464.2,24.9
2007,African-American,418.6,22.0
2008,African-American,408.9,21.8
2009,African-American,514.8,26.8
2010,African-American,614.7,31.2
2011,African-American,542.0,26.6
2012,African-American,535.5,26.1
2013,African-American,623.8,29.5
2014,African-American,597.9,29.0
2000,Hispanic,281.1,13.5
2001,Hispanic,311.1,12.2
2002,Hispanic,388.9,15.0
2003,Hispanic,399.2,15.2
2004,Hispanic,380.2,14.0
2005,Hispanic,368.0,14.0
2006,Hispanic,304.7,11.8
2007,Hispanic,332.3,12.3
2008,Hispanic,371.4,14.1
2009,Hispanic,492.2,18.7
2010,Hispanic,581.5,20.3
2011,Hispanic,596.4,19.1
2013,Hispanic,525.1,16.2
2014,Hispanic,531.3,16.1
2001,Other,46.9,7.4
2002,Other,50.2,7.5
2003,Other,50.4,9.1
2006,Other,53.5,9.3
2010,Other,70.5,11.4
2011,Other,61.1,9.5
2012,Other,67.8,8.9
2013,Other,82.0,10.2
2014,Other,81.6,10.1
2005,Other,30.0,35.3
2001,Other,32.1,21.3
2002,Other,34.7,27.7
2003,Other,34.0,37.2
2004,Other,22.9,25.8
2006,Other,20.3,29.8
2007,Other,38.5,33.0
2009,Other,30.1,27.8
2010,Other,57.6,45.7
2011,Other,33.8,32.5
2012,Other,38.5,33.2
2013,Other,58.8,42.9
2014,Other,33.8,20.8
2003,Other,32.9,14.9
2004,Other,53.8,23.0
2005,Other,43.5,17.0
2006,Other,39.1,15.8
2008,Other,43.0,15.9
2009,Other,64.6,24.9
2010,Other,53.3,23.2
2011,Other,51.5,18.3
2012,Other,53.5,14.3
2010,Caucasian,1390.1,15.8
2013,Other,54.0,15.4
2014,Other,50.8,14.1
2000,Caucasian,1067.4,12.4
2001,Caucasian,1067.4,12.8
2002,Caucasian,1187.4,14.0
2003,Caucasian,1169.7,13.8
2004,Caucasian,1201.2,14.0
2005,Caucasian,1235.6,14.3
2006,Caucasian,1238.3,14.3
2007,Caucasian,1170.6,13.6
2008,Caucasian,1163.7,13.5
2009,Caucasian,1274.9,14.6
2011,Caucasian,1333.9,15.3
2012,Caucasian,1266.3,15.0
2013,Caucasian,1221.6,14.9
2014,Caucasian,1248.2,15.4
2000,African-American,513.1,24.9
2001,African-American,467.3,23.5
2002,African-American,506.5,24.9
2003,African-American,506.1,25.7
2004,African-American,458.1,23.9
2005,African-American,468.5,23.2
2006,African-American,443.0,21.9
2007,African-American,469.2,23.7
2008,African-American,501.8,24.6
2009,African-American,498.4,24.0
2010,African-American,560.7,26.6
2011,African-American,473.3,21.9
2012,African-American,500.2,22.4
2013,African-American,443.0,19.6
2014,African-American,513.6,22.8
2000,Hispanic,586.0,31.2
2001,Hispanic,677.1,30.1
2002,Hispanic,659.0,28.7
2003,Hispanic,670.1,30.5
2004,Hispanic,643.4,28.4
2005,Hispanic,725.7,31.1
2006,Hispanic,645.5,28.2
2007,Hispanic,662.7,27.8
2008,Hispanic,703.0,29.5
2009,Hispanic,665.8,27.3
2010,Hispanic,751.1,28.8
2011,Hispanic,713.7,27.0
2012,Hispanic,674.8,22.8
2013,Hispanic,784.7,25.5
2014,Hispanic,702.1,22.7
2001,Other,88.7,13.6
2002,Other,93.8,14.2
2003,Other,59.5,10.3
2004,Other,69.2,12.9
2005,Other,77.6,13.9
2006,Other,79.4,14.4
2007,Other,81.4,13.6
2008,Other,70.5,12.5
2009,Other,67.6,13.0
2010,Other,91.1,16.4
2011,Other,69.0,11.3
2009,Other,51.4,22.3
2012,Other,112.0,14.6
2013,Other,85.1,11.0
2014,Other,86.9,11.4
2001,Other,38.6,26.7
2002,Other,47.1,33.2
2003,Other,32.9,32.7
2004,Other,35.2,45.9
2005,Other,23.6,28.0
2006,Other,36.0,37.5
2008,Other,42.1,42.8
