Year,Sex,Percentage
2000,Male,77.2
2001,Male,75.9
2002,Male,74.9
2003,Male,74.0
2004,Male,73.7
2005,Male,73.3
2006,Male,73.8
2007,Male,72.1
2008,Male,72.1
2009,Male,69.3
2010,Male,67.6
2011,Male,67.5
2012,Male,67.4
2013,Male,67.0
2000,Male,65.0
2001,Male,62.5
2002,Male,60.9
2003,Male,58.2
2004,Male,58.4
2005,Male,57.9
2006,Male,58.2
2007,Male,55.2
2008,Male,55.4
2009,Male,51.9
2010,Male,49.6
2011,Male,48.3
2012,Male,48.5
2013,Male,48.3
2000,Male,82.6
2001,Male,81.6
2002,Male,80.7
2003,Male,80.0
2004,Male,79.6
2005,Male,79.1
2006,Male,79.6
2007,Male,78.7
2008,Male,78.7
2009,Male,76.2
2010,Male,74.5
2011,Male,74.7
2012,Male,74.5
2013,Male,73.9
2000,Female,69.5
2001,Female,68.8
2002,Female,68.3
2003,Female,66.8
2004,Female,66.5
2005,Female,66.2
2006,Female,65.8
2007,Female,65.8
2008,Female,65.3
2009,Female,64.4
2010,Female,62.9
2011,Female,62.2
2012,Female,62.0
2013,Female,62.0
2000,Female,61.3
2001,Female,59.1
2002,Female,58.5
2003,Female,56.3
2004,Female,55.7
2005,Female,55.9
2006,Female,55.8
2007,Female,54.1
2008,Female,53.0
2009,Female,50.9
2010,Female,48.6
2011,Female,47.4
2012,Female,47.2
2013,Female,47.6
2000,Female,73.1
2001,Female,72.7
2002,Female,72.1
2003,Female,70.8
2004,Female,70.5
2005,Female,70.1
2006,Female,69.5
2007,Female,70.1
2008,Female,70.0
2009,Female,69.6
2010,Female,68.3
2011,Female,67.8
2012,Female,67.4
2013,Female,67.5
2000,Male,80.3
2001,Male,78.8
2002,Male,77.4
2003,Male,76.6
2004,Male,76.3
2005,Male,75.8
2006,Male,76.4
2007,Male,74.7
2008,Male,74.7
2009,Male,71.9
2010,Male,70.2
2011,Male,70.2
2012,Male,70.2
2013,Male,70.0
2000,Male,68.9
2001,Male,66.1
2002,Male,63.5
2003,Male,61.2
2004,Male,61.5
2005,Male,60.7
2006,Male,61.7
2007,Male,58.3
2008,Male,58.6
2009,Male,55.0
2010,Male,52.1
2011,Male,51.6
2012,Male,51.5
2013,Male,50.9
2000,Male,85.2
2001,Male,84.1
2002,Male,83.1
2003,Male,82.5
2004,Male,82.1
2005,Male,81.4
2006,Male,81.9
2007,Male,80.9
2008,Male,80.8
2009,Male,78.6
2010,Male,77.0
2011,Male,77.1
2012,Male,77.2
2013,Male,77.0
2000,Male,65.4
2001,Male,63.1
2002,Male,64.6
2003,Male,63.5
2004,Male,62.9
2005,Male,63.8
2006,Male,64.3
2007,Male,63.2
2008,Male,62.6
2009,Male,59.7
2010,Male,59.4
2011,Male,58.3
2012,Male,58.8
2013,Male,59.6
2000,Male,49.1
2001,Male,49.0
2002,Male,51.2
2003,Male,44.3
2004,Male,44.8
2005,Male,48.1
2006,Male,46.4
2007,Male,43.9
2008,Male,43.2
2009,Male,40.5
2010,Male,40.8
2011,Male,37.7
2012,Male,39.1
2013,Male,40.9
2000,Male,73.2
2001,Male,69.7
2002,Male,70.7
2003,Male,71.1
2004,Male,69.9
2005,Male,70.1
2006,Male,71.7
2007,Male,71.1
2008,Male,71.1
2009,Male,67.7
2010,Male,66.9
2011,Male,67.0
2012,Male,66.5
2013,Male,66.2
2000,Male,60.9
2001,Male,63.1
2002,Male,61.7
2003,Male,60.9
2004,Male,58.6
2005,Male,57.6
2006,Male,55.0
2007,Male,53.4
2008,Male,55.9
2009,Male,51.9
2010,Male,50.5
2011,Male,50.7
2012,Male,50.3
2013,Male,51.0
2000,Male,46.8
2001,Male,43.7
2002,Male,45.1
2003,Male,45.9
2004,Male,42.8
2005,Male,36.1
2006,Male,36.6
2007,Male,35.8
2008,Male,36.7
2009,Male,32.3
2010,Male,34.4
2011,Male,32.0
2012,Male,29.6
2013,Male,34.3
2000,Male,66.7
2001,Male,70.8
2002,Male,67.9
2003,Male,66.4
2004,Male,63.8
2005,Male,65.0
2006,Male,61.7
2007,Male,59.3
2008,Male,62.5
2009,Male,60.2
2010,Male,56.3
2011,Male,57.1
2012,Male,57.0
2013,Male,57.0
2000,Male,83.2
2001,Male,82.3
2002,Male,80.8
2003,Male,79.4
2004,Male,78.4
2005,Male,78.5
2006,Male,79.7
2007,Male,77.9
2008,Male,77.4
2009,Male,74.1
2010,Male,71.7
2011,Male,70.9
2012,Male,70.6
2013,Male,70.9
2000,Male,68.0
2001,Male,70.1
2002,Male,66.2
2003,Male,58.7
2004,Male,61.0
2005,Male,61.6
2006,Male,61.9
2007,Male,57.7
2008,Male,59.2
2009,Male,54.3
2010,Male,51.3
2011,Male,48.3
2012,Male,50.3
2013,Male,50.3
2000,Male,89.1
2001,Male,86.8
2002,Male,86.1
2003,Male,86.2
2004,Male,84.4
2005,Male,84.1
2006,Male,85.9
2007,Male,85.3
2008,Male,84.3
2009,Male,82.2
2010,Male,80.0
2011,Male,79.5
2012,Male,78.5
2013,Male,78.6
2000,Female,71.5
2001,Female,70.8
2002,Female,70.5
2003,Female,69.1
2004,Female,68.2
2005,Female,67.8
2006,Female,67.6
2007,Female,67.6
2008,Female,67.4
2009,Female,66.7
2010,Female,64.9
2011,Female,64.0
2012,Female,63.9
2013,Female,64.3
2000,Female,64.5
2001,Female,62.6
2002,Female,61.9
2003,Female,59.5
2004,Female,58.3
2005,Female,59.5
2006,Female,58.7
2007,Female,57.0
2008,Female,56.3
2009,Female,54.0
2010,Female,51.9
2011,Female,50.4
2012,Female,49.9
2013,Female,50.3
2000,Female,74.5
